source,brand,model,year,price,city,mileage_km,mileage_missing,body_type,engine_volume_l,fuel_type,transmission,drive_type,steering_wheel,color,condition,car_age,is_new
cars_ml,Audi,Q7,2007,8200000,Акколь (Аккольский р-н),144000,0,crossover,3.0,petrol,automatic,awd,left,серый металлик,used,19,0
cars_ml,УАЗ,Профи Стандарт,2025,15020000,Уральск,25,0,pickup,2.7,petrol,manual,awd,left,белый,used,1,0
cars_ml,Chevrolet,Cobalt Elegant AT,2025,6290000,Усть-Каменогорск,-1,1,sedan,1.5,petrol,automatic,fwd,left,черный,unknown,1,0
cars_ml,Mercedes-Benz,S 450 4MATIC,2025,110000000,Астана,-1,1,sedan,3.0,petrol,automatic,awd,left,коричневый металлик,unknown,1,0
cars_ml,Hyundai,Sonata,2023,10590000,Актау,99000,0,sedan,2.0,petrol,automatic,fwd,left,белый металлик,used,3,0
cars_ml,Lynk,& Co 900 1.5T Ultra,2026,25450000,Алматы,-1,1,crossover,1.5,hybrid,automatic,awd,left,unknown,unknown,0,0
cars_ml,Chevrolet,Captiva Premier,2025,12690000,Атырау,-1,1,suv,1.5,petrol,variator,fwd,left,черный,unknown,1,0
cars_ml,Chevrolet,Tracker LT 1.2,2025,10240000,Атырау,-1,1,crossover,1.2,petrol,automatic,fwd,left,unknown,unknown,1,0
cars_ml,Chevrolet,Onix Premier 1,2025,7290000,Атырау,-1,1,sedan,1.2,petrol,automatic,fwd,left,unknown,unknown,1,0
cars_ml,Haval,H6 Premium 1.5T 2WD,2026,10531500,Алматы,5,0,crossover,1.5,petrol,robot,fwd,left,белый,used,0,0
cars_ml,Chevrolet,Cobalt Optimum AT,2026,5990000,Актау,15,0,sedan,1.5,petrol,automatic,fwd,left,белый,used,0,0
cars_ml,Chevrolet,Onix Premier 1,2026,7990000,Актау,15,0,hatchback,1.2,petrol,automatic,fwd,left,бирюзовый,used,0,0
cars_ml,Chevrolet,Cobalt Elegant AT,2026,6490000,Кокшетау,10,0,sedan,1.5,petrol,automatic,fwd,left,unknown,used,0,0
cars_ml,Chevrolet,Cobalt Elegant AT,2026,6490000,Актау,15,0,sedan,1.5,petrol,automatic,fwd,left,белый,used,0,0
cars_ml,BMW,X6 XDrive 40i,2025,63000000,Алматы,-1,1,crossover,3.0,petrol,automatic,awd,left,черный,unknown,1,0
cars_ml,Chevrolet,Cobalt Optimum AT,2026,5990000,Усть-Каменогорск,-1,1,sedan,1.5,petrol,automatic,fwd,left,белый,unknown,0,0
cars_ml,Kia,K8,2021,15000000,Караганда,72500,0,sedan,2.5,petrol,automatic,fwd,left,серый металлик,used,5,0
cars_ml,Chevrolet,Cobalt Elegant AT,2026,6490000,Атырау,-1,1,sedan,1.5,petrol,automatic,fwd,left,unknown,unknown,0,0
cars_ml,Chevrolet,Onix LTZ,2026,7590000,Атырау,-1,1,sedan,1.2,petrol,automatic,fwd,left,unknown,unknown,0,0
cars_ml,Chevrolet,Onix Premier 1,2026,7990000,Атырау,-1,1,sedan,1.2,petrol,automatic,fwd,left,unknown,unknown,0,0
cars_ml,Mercedes-Benz,190,1989,1100000,Тараз,-1,1,sedan,2.0,petrol,manual,rwd,left,черный,unknown,37,0
cars_ml,Mercedes-Benz,E 280,1996,2100000,Тараз,-1,1,sedan,2.8,petrol,automatic,rwd,left,синий металлик,unknown,30,0
cars_ml,Toyota,Camry,2021,13700000,Шымкент,103000,0,sedan,2.5,petrol,automatic,fwd,left,белый металлик,used,5,0
cars_ml,Kia,Sorento,2020,12500000,Астана,97500,0,crossover,2.4,petrol,automatic,awd,left,серебристый металлик,used,6,0
cars_ml,Changan,CS75 Plus,2024,10500000,Атырау,23000,0,crossover,1.5,petrol,automatic,fwd,left,серый металлик,used,2,0
cars_ml,Toyota,Land Cruiser,2007,13800000,Алматы,250000,0,suv,4.7,petrol,automatic,awd,left,черный металлик,used,19,0
cars_ml,ВАЗ,(Lada) 2109,1998,600000,Семей,-1,1,hatchback,1.5,petrol,manual,fwd,left,unknown,unknown,28,0
cars_ml,Chevrolet,Cobalt,2026,6100000,Астана,-1,1,sedan,1.5,petrol,automatic,fwd,left,unknown,unknown,0,0
