iter	Passed	Remaining
1372	2913	18308
1373	2915	18303
1374	2918	18303
1375	2919	18299
1376	2921	18297
1377	2923	18295
1378	2925	18290
1379	2927	18286
1380	2929	18286
1381	2931	18281
1382	2933	18276
1383	2935	18273
1384	2937	18271
1385	2940	18275
1386	2942	18273
1387	2945	18275
1388	2948	18276
1389	2949	18272
1390	2952	18273
1391	2954	18268
1392	2956	18267
1393	2958	18267
1394	2960	18263
1395	2963	18262
1396	2965	18260
1397	2968	18264
1398	2970	18262
1399	2972	18258
1400	2974	18258
1401	2977	18258
1402	2978	18253
1403	2980	18248
1404	2982	18243
1405	2983	18237
1406	2986	18238
1407	2988	18235
1408	2990	18235
1409	2993	18235
1410	2995	18232
1411	2997	18233
1412	3000	18233
1413	3002	18229
1414	3004	18228
1415	3007	18228
1416	3009	18227
1417	3011	18223
1418	3012	18219
1419	3014	18215
1420	3016	18211
1421	3018	18207
1422	3019	18199
1423	3020	18193
1424	3022	18189
1425	3024	18184
1426	3025	18178
1427	3028	18178
1428	3029	18173
1429	3031	18169
1430	3033	18165
1431	3035	18160
1432	3037	18156
1433	3039	18154
1434	3041	18152
1435	3043	18152
1436	3045	18146
1437	3046	18141
1438	3049	18139
1439	3050	18136
1440	3053	18135
1441	3054	18129
1442	3056	18126
1443	3058	18122
1444	3060	18117
1445	3061	18112
1446	3064	18113
1447	3066	18113
1448	3069	18113
1449	3072	18115
1450	3074	18111
1451	3075	18106
1452	3079	18114
1453	3081	18109
1454	3083	18107
1455	3085	18104
1456	3086	18100
1457	3089	18100
1458	3091	18098
1459	3093	18096
1460	3095	18092
1461	3097	18088
1462	3099	18087
1463	3101	18083
1464	3103	18078
1465	3106	18082
1466	3108	18081
1467	3110	18076
1468	3112	18073
1469	3113	18069
1470	3115	18066
1471	3118	18065
1472	3119	18060
1473	3122	18059
1474	3124	18059
1475	3126	18053
1476	3127	18048
1477	3130	18048
1478	3131	18043
1479	3133	18039
1480	3135	18034
1481	3137	18031
1482	3139	18028
1483	3142	18032
1484	3143	18027
1485	3145	18022
1486	3147	18020
1487	3149	18016
1488	3151	18011
1489	3152	18004
1490	3154	18004
1491	3156	17999
1492	3158	17994
1493	3159	17990
1494	3162	17988
1495	3163	17982
1496	3165	17981
1497	3167	17977
1498	3169	17973
1499	3171	17971
1500	3174	17972
1501	3175	17966
1502	3177	17965
1503	3179	17960
1504	3180	17954
1505	3182	17951
1506	3184	17947
1507	3187	17952
1508	3190	17951
1509	3192	17949
1510	3194	17948
1511	3196	17944
1512	3199	17945
1513	3200	17940
1514	3203	17939
1515	3204	17935
1516	3207	17934
1517	3209	17931
1518	3211	17932
1519	3213	17927
1520	3215	17924
1521	3217	17922
1522	3218	17916
1523	3221	17917
1524	3223	17912
1525	3224	17908
1526	3226	17905
1527	3229	17907
1528	3232	17908
1529	3234	17905
1530	3236	17905
1531	3238	17900
1532	3240	17899
1533	3242	17894
1534	3244	17890
1535	3245	17886
1536	3247	17883
1537	3249	17878
1538	3251	17876
1539	3253	17873
1540	3256	17873
1541	3257	17869
1542	3259	17865
1543	3261	17863
1544	3263	17861
1545	3265	17858
1546	3267	17854
1547	3269	17851
1548	3272	17851
1549	3273	17847
1550	3275	17843
1551	3277	17840
1552	3279	17838
1553	3281	17837
1554	3283	17832
1555	3285	17828
1556	3287	17824
1557	3288	17820
1558	3290	17817
1559	3292	17814
1560	3294	17812
1561	3297	17812
1562	3299	17809
1563	3301	17809
1564	3304	17808
1565	3306	17807
1566	3308	17804
1567	3310	17800
1568	3312	17797
1569	3314	17798
1570	3316	17794
1571	3319	17794
1572	3321	17791
1573	3323	17789
1574	3325	17789
1575	3327	17784
1576	3329	17783
1577	3331	17779
1578	3333	17777
1579	3335	17774
1580	3336	17768
1581	3339	17769
1582	3341	17767
1583	3344	17767
1584	3345	17764
1585	3348	17761
1586	3350	17762
1587	3353	17762
1588	3354	17757
1589	3356	17753
1590	3358	17749
1591	3359	17744
1592	3361	17742
1593	3363	17738
1594	3366	17737
1595	3368	17736
1596	3370	17734
1597	3373	17736
1598	3375	17736
1599	3377	17730
1600	3378	17724
1601	3380	17721
1602	3382	17719
1603	3384	17717
1604	3387	17717
1605	3389	17714
1606	3391	17712
1607	3393	17710
1608	3395	17709
1609	3397	17706
1610	3399	17704
1611	3401	17699
1612	3403	17697
1613	3405	17694
1614	3407	17689
1615	3408	17684
1616	3410	17683
1617	3413	17681
1618	3414	17677
1619	3416	17673
1620	3418	17669
1621	3420	17668
1622	3423	17669
1623	3424	17663
1624	3426	17661
1625	3429	17664
1626	3432	17662
1627	3434	17660
1628	3436	17659
1629	3438	17658
1630	3440	17654
1631	3443	17655
1632	3445	17652
1633	3447	17652
1634	3449	17648
1635	3451	17646
1636	3453	17643
1637	3455	17639
1638	3457	17638
1639	3459	17635
1640	3461	17631
1641	3463	17628
1642	3464	17624
1643	3467	17622
1644	3469	17620
1645	3470	17615
1646	3473	17613
1647	3475	17612
1648	3476	17606
1649	3478	17601
1650	3480	17599
1651	3482	17596
1652	3484	17595
1653	3487	17597
1654	3489	17595
1655	3491	17590
1656	3493	17588
1657	3495	17585
1658	3497	17582
1659	3498	17578
1660	3500	17574
1661	3503	17575
1662	3505	17572
1663	3506	17567
1664	3508	17565
1665	3510	17560
1666	3512	17557
1667	3514	17553
1668	3516	17552
1669	3518	17552
1670	3520	17548
1671	3522	17546
1672	3524	17542
1673	3526	17539
1674	3528	17537
1675	3530	17537
1676	3533	17534
1677	3534	17530
1678	3537	17529
1679	3539	17527
1680	3540	17523
1681	3542	17520
1682	3544	17515
1683	3546	17514
1684	3548	17512
1685	3551	17510
1686	3553	17509
1687	3555	17509
1688	3558	17508
1689	3559	17504
1690	3561	17500
1691	3564	17500
1692	3566	17499
1693	3569	17503
1694	3571	17501
1695	3573	17497
1696	3575	17492
1697	3576	17488
1698	3578	17485
1699	3580	17481
1700	3582	17478
1701	3584	17477
1702	3586	17475
1703	3589	17476
1704	3591	17472
1705	3593	17471
1706	3595	17469
1707	3597	17466
1708	3599	17462
1709	3601	17460
1710	3603	17456
1711	3605	17456
